,movie title
0,Toy Story 
1,GoldenEye 
3,Get Shorty 
4,Copycat 
6,Twelve Monkeys 
7,Babe 
9,Richard III 
10,Seven (Se7en) 
11,"Usual Suspects, The "
13,"Postino, Il "
15,French Twist (Gazon maudit) 
16,From Dusk Till Dawn 
19,Angels and Insects 
20,Muppet Treasure Island 
21,Braveheart 
22,Taxi Driver 
23,Rumble in the Bronx 
27,Apollo 13 
28,Batman Forever 
30,Crimson Tide 
32,Desperado 
33,"Doom Generation, The "
34,Free Willy 2: The Adventure Home 
35,Mad Love 
37,"Net, The "
38,Strange Days 
42,Disclosure 
43,Dolores Claiborne 
44,Eat Drink Man Woman 
46,Ed Wood 
48,I.Q. 
49,Star Wars 
50,Legends of the Fall 
52,Natural Born Killers 
53,Outbreak 
54,"Professional, The "
55,Pulp Fiction 
61,Stargate 
62,"Santa Clause, The "
64,What's Eating Gilbert Grape 
65,While You Were Sleeping 
67,"Crow, The "
68,Forrest Gump 
69,Four Weddings and a Funeral 
70,"Lion King, The "
71,"Mask, The "
72,Maverick 
73,Faster Pussycat! Kill! Kill! 
75,Carlito's Way 
76,"Firm, The "
77,Free Willy 
78,"Fugitive, The "
79,Hot Shots! Part Deux 
80,"Hudsucker Proxy, The "
81,Jurassic Park 
82,Much Ado About Nothing 
83,Robert A. Heinlein's The Puppet Masters 
87,Sleepless in Seattle 
88,Blade Runner 
89,So I Married an Axe Murderer 
90,"Nightmare Before Christmas, The "
91,True Romance 
92,Welcome to the Dollhouse 
93,Home Alone 
94,Aladdin 
95,Terminator 2: Judgment Day 
96,Dances with Wolves 
97,"Silence of the Lambs, The "
98,Snow White and the Seven Dwarfs 
99,Fargo 
100,Heavy Metal 
101,"Aristocats, The "
102,All Dogs Go to Heaven 2 
105,Diabolique 
108,Mystery Science Theater 3000: The Movie 
109,Operation Dumbo Drop 
110,"Truth About Cats & Dogs, The "
111,Flipper 
116,"Rock, The "
117,Twister 
119,Striptease 
120,Independence Day (ID4) 
122,"Frighteners, The "
123,Lone Star 
124,Phenomenon 
126,"Godfather, The "
127,Supercop 
128,Bound 
130,Breakfast at Tiffany's 
131,"Wizard of Oz, The "
132,Gone with the Wind 
134,2001: A Space Odyssey 
137,D3: The Mighty Ducks 
138,"Love Bug, The "
139,Homeward Bound: The Incredible Journey 
140,"20,000 Leagues Under the Sea "
141,Bedknobs and Broomsticks 
143,Die Hard 
144,"Lawnmower Man, The "
146,"Long Kiss Goodnight, The "
147,"Ghost and the Darkness, The "
149,Swingers 
150,Willy Wonka and the Chocolate Factory 
151,Sleeper 
154,Dirty Dancing 
155,Reservoir Dogs 
156,Platoon 
158,Basic Instinct 
160,Top Gun 
163,"Abyss, The "
168,"Wrong Trousers, The "
169,Cinema Paradiso 
170,Delicatessen 
171,"Empire Strikes Back, The "
172,"Princess Bride, The "
173,Raiders of the Lost Ark 
175,Aliens 
176,"Good, The Bad and The Ugly, The "
179,Apocalypse Now 
180,Return of the Jedi 
181,GoodFellas 
182,Alien 
183,Army of Darkness 
184,Psycho 
185,"Blues Brothers, The "
186,"Godfather: Part II, The "
187,Full Metal Jacket 
188,"Grand Day Out, A "
189,Henry V 
190,Amadeus 
193,"Sting, The "
194,"Terminator, The "
196,"Graduate, The "
198,"Bridge on the River Kwai, The "
200,Evil Dead II 
201,Groundhog Day 
203,Back to the Future 
204,Patton 
205,Akira 
206,Cyrano de Bergerac 
207,Young Frankenstein 
208,This Is Spinal Tap 
209,Indiana Jones and the Last Crusade 
210,M*A*S*H 
212,"Room with a View, A "
213,Pink Floyd - The Wall 
215,When Harry Met Sally... 
216,Bram Stoker's Dracula 
219,"Mirror Has Two Faces, The "
221,Star Trek: First Contact 
222,Sling Blade 
224,101 Dalmatians 
225,Die Hard 2 
226,Star Trek VI: The Undiscovered Country 
227,Star Trek: The Wrath of Khan 
228,Star Trek III: The Search for Spock 
229,Star Trek IV: The Voyage Home 
230,Batman Returns 
231,Young Guns 
233,Jaws 
234,Mars Attacks! 
235,Citizen Ruth 
236,Jerry Maguire 
238,Sneakers 
239,Beavis and Butt-head Do America 
240,"Last of the Mohicans, The "
242,Jungle2Jungle 
243,Smilla's Sense of Snow 
244,"Devil's Own, The "
245,Chasing Amy 
246,Turbo: A Power Rangers Movie 
247,Grosse Pointe Blank 
249,"Fifth Element, The "
251,"Lost World: Jurassic Park, The "
252,"Pillow Book, The "
253,Batman & Robin 
254,My Best Friend's Wedding 
255,When the Cats Away (Chacun cherche son chat) 
256,Men in Black 
257,Contact 
258,George of the Jungle 
259,Event Horizon 
260,Air Bud 
263,Mimic 
264,"Hunt for Red October, The "
265,Kull the Conqueror 
266,Chasing Amy 
268,Gattaca 
269,Starship Troopers 
271,Heat 
272,Sabrina 
273,Sense and Sensibility 
274,Leaving Las Vegas 
276,Bed of Roses 
278,Up Close and Personal 
279,"River Wild, The "
281,Emma 
282,Tin Cup 
284,"English Patient, The "
286,Scream 
287,Evita 
289,Absolute Power 
291,Donnie Brasco 
293,Breakdown 
296,Face/Off 
297,Hoodlum 
298,Air Force One 
300,L.A. Confidential 
302,Fly Away Home 
304,"Mrs. Brown (Her Majesty, Mrs. Brown) "
305,"Devil's Advocate, The "
306,FairyTale: A True Story 
309,"Wings of the Dove, The "
310,Midnight in the Garden of Good and Evil 
311,Titanic 
312,3 Ninjas: High Noon At Mega Mountain 
313,Apt Pupil 
314,As Good As It Gets 
316,Schindler's List 
317,Everyone Says I Love You 
320,Murder at 1600 
321,Dante's Peak 
323,Crash 
324,G.I. Jane 
325,Cop Land 
326,Conspiracy Theory 
327,Desperate Measures 
329,"Edge, The "
330,Kiss the Girls 
331,"Game, The "
332,U Turn 
334,Playing God 
335,"House of Yes, The "
337,Mad City 
340,"Man Who Knew Too Little, The "
341,Alien: Resurrection 
343,Deconstructing Harry 
344,Jackie Brown 
345,Wag the Dog 
346,Desperate Measures 
347,Hard Rain 
348,Fallen 
350,Spice World 
351,Deep Rising 
352,"Wedding Singer, The "
353,Sphere 
354,"Client, The "
356,Spawn 
359,Incognito 
360,Blues Brothers 2000 
368,Mary Reilly 
369,"Bridges of Madison County, The "
371,Judge Dredd 
372,Mighty Morphin Power Rangers: The Movie 
375,Heavyweights 
378,Star Trek: Generations 
379,Muriel's Wedding 
380,"Adventures of Priscilla, Queen of the Desert, The "
381,"Flintstones, The "
383,True Lies 
386,Beverly Hills Cop III 
387,Black Beauty 
389,Last Action Hero 
392,Radioland Murders 
394,Serial Mom 
396,Super Mario Bros. 
397,"Three Musketeers, The "
398,"Little Rascals, The "
400,Ghost 
401,Batman 
402,Pinocchio 
403,Mission: Impossible 
404,Thinner 
406,"Close Shave, A "
407,Jack 
409,"Nutty Professor, The "
413,"Apple Dumpling Gang, The "
414,Old Yeller 
415,"Parent Trap, The "
416,Cinderella 
417,Mary Poppins 
418,Alice in Wonderland 
419,William Shakespeare's Romeo and Juliet 
420,Aladdin and the King of Thieves 
421,E.T. the Extra-Terrestrial 
424,"Transformers: The Movie, The "
427,"Day the Earth Stood Still, The "
428,Duck Soup 
429,Highlander 
430,Fantasia 
433,Butch Cassidy and the Sundance Kid 
442,"Blob, The "
447,Star Trek: The Motion Picture 
448,Star Trek V: The Final Frontier 
449,Grease 
450,Jaws 2 
451,Jaws 3-D 
454,Beverly Hills Ninja 
455,Free Willy 3: The Rescue 
460,Like Water For Chocolate (Como agua para chocolate) 
463,"Jungle Book, The "
469,Courage Under Fire 
470,Dragonheart 
471,James and the Giant Peach 
